leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,0.0
AANGBULD,BEZYMBBT,3693966.1744212625
AANGBULD,DDEXPPXU,0.0
AANGBULD,DEWLVASR,431973.51705156174
AANGBULD,DNMPSKTB,5310365.699810603
AANGBULD,EVBVXETX,5186810.10022956
AANGBULD,FQCLOEXA,2622135.868440785
AANGBULD,FTSVTTSR,265393.709145586
AANGBULD,GKQIJYDH,5496855.690515989
AANGBULD,GYHKIVQT,27620201.43149669
AANGBULD,JBVHSUWY,372178.5228789719
AANGBULD,JPBRUTWP,5442425.1965675615
AANGBULD,JSLXRQOK,64818.186575809494
AANGBULD,KJNSOAHR,20198205.326443225
AANGBULD,LLHREMKS,115866.29422839172
AANGBULD,LSOIUSXD,145023.66104362905
AANGBULD,LTOYKIML,484735.46732713934
AANGBULD,LUENUFGA,3694297.4816601817
AANGBULD,NZKBIBNU,328633.6873553656
AANGBULD,OKMBFVKS,1665097.4990538256
AANGBULD,OXKURKXR,173621.31893921085
AANGBULD,QJQJSWFU,149187.99532356206
AANGBULD,RJGPVEXX,666862.8260381846
AANGBULD,SAAYMURU,67938.90781013202
AANGBULD,SAHWCZNH,2320461.0673124967
AANGBULD,SDWAYPIK,5848288.931620626
AANGBULD,UGEQLMXM,304695.4240932772
AANGBULD,UIFPPCLR,85483.50823136792
AANGBULD,UQYUIVVR,3557461.247840056
AANGBULD,VUAFAIYJ,932365.8486650535
AANGBULD,WPQXWHYO,16643734.445062136
AANGBULD,XUOIQPFL,2762944.0659561716
AANGBULD,ZCELVYQU,216050.81179805472
AANGBULD,ZGJXVMNI,2790437.9541958496
AANGBULD,ZKENOUDA,424327.1643056264
AHMDUILJ,APQGTRMF,40476.1230033068
AHMDUILJ,ATLDMDBO,39494478.7216437
AHMDUILJ,BEZYMBBT,3772232.592375936
AHMDUILJ,BSRMSVTC,275797.95139337983
AHMDUILJ,BTMOEMEP,15495966.617303709
AHMDUILJ,BUZIIBYG,15826632.11586552
AHMDUILJ,DBWLZWNK,206583.6594713973
AHMDUILJ,DUCMGGNW,1028321.4340746598
AHMDUILJ,FTSVTTSR,229960.26006876677
AHMDUILJ,HXYSSRXE,5057258.762847105
AHMDUILJ,IGDVVKUD,16644.467929536477
AHMDUILJ,JERHKLYW,20058.324745940976
AHMDUILJ,JPBRUTWP,5212321.140404798
AHMDUILJ,KEUWZRKO,331884.7890205402
AHMDUILJ,LRVGFDFM,3069551.794326766
AHMDUILJ,MIRCVAMV,88672.77747893799
AHMDUILJ,NZKBIBNU,347769.0837144265
AHMDUILJ,QRKRBYJL,2054771.0289466837
AHMDUILJ,QVLMOEYE,1204392.8649322442
AHMDUILJ,RAWUKQMJ,3490617.824298165
