leading_item_id,following_item_id,value
AANGBULD,APQGTRMF,45280.84277414996
AANGBULD,BEZYMBBT,3020208.488897779
AANGBULD,BJALXPFS,180421.65705731278
AANGBULD,BLANHGYY,26824.100062740967
AANGBULD,DBWLZWNK,179937.22969562653
AANGBULD,DDEXPPXU,27491.033279764466
AANGBULD,DEWLVASR,442680.0904221833
AANGBULD,DNMPSKTB,5023126.5903236335
AANGBULD,ELQGMQWE,733926.099410831
AANGBULD,EVBVXETX,5270172.506692119
AANGBULD,FITUEHWN,98355.85214496404
AANGBULD,FQCLOEXA,2326031.7637074795
AANGBULD,FTSVTTSR,275133.7931353897
AANGBULD,FWUCPMMW,0.0
AANGBULD,GKQIJYDH,3641201.8927452825
AANGBULD,GYHKIVQT,30875385.776458446
AANGBULD,IGDVVKUD,5484.415218698792
AANGBULD,KJNSOAHR,23513020.15961355
AANGBULD,LLHREMKS,136840.43654343067
AANGBULD,LSOIUSXD,101359.16984774452
AANGBULD,LTOYKIML,457855.50042821094
AANGBULD,LUENUFGA,3560591.5392239206
AANGBULD,NAQIHUKZ,75939.7211777009
AANGBULD,NZKBIBNU,287677.22731012525
AANGBULD,OKMBFVKS,1816593.3106188537
AANGBULD,OXKURKXR,93565.49225724954
AANGBULD,QVLMOEYE,1201773.5129553885
AANGBULD,RJGPVEXX,583050.4770463877
AANGBULD,SAAYMURU,93355.25802218542
AANGBULD,SDWAYPIK,5478206.852097935
AANGBULD,UIFPPCLR,103788.86896466278
AANGBULD,UQYUIVVR,3978780.7676441134
AANGBULD,VBYCLTYZ,555413.9804617902
AANGBULD,VMAQSTJE,47136.43793661427
AANGBULD,VUAFAIYJ,842415.353306408
AANGBULD,WPQXWHYO,17062967.311200187
AANGBULD,XIIEJNEE,112844.25827719597
AANGBULD,XUOIQPFL,2644984.96857783
AANGBULD,ZCELVYQU,195810.45116502466
AANGBULD,ZGJXVMNI,2612283.04928514
AANGBULD,ZKENOUDA,330578.22172293765
AANGBULD,ZXERAXWP,54441.68563330546
AHMDUILJ,APQGTRMF,41851.611337542534
AHMDUILJ,ATLDMDBO,33572762.519898266
AHMDUILJ,AXULOHBQ,66903.91693135258
AHMDUILJ,BJALXPFS,215990.3694977248
AHMDUILJ,BSRMSVTC,288680.99669932155
AHMDUILJ,BTMOEMEP,14055650.681882808
AHMDUILJ,BUZIIBYG,12666530.01769673
AHMDUILJ,CCLHWFWF,12417852.792953188
AHMDUILJ,DBWLZWNK,169193.5337206428
AHMDUILJ,DNMPSKTB,5254686.448307605
AHMDUILJ,DUCMGGNW,909242.6924996148
AHMDUILJ,FDXPMYGF,49962.2088850867
AHMDUILJ,FWUCPMMW,33629.34405418672
AHMDUILJ,GYHKIVQT,31747723.359402567
AHMDUILJ,HCDTGMST,224591.96741405688
AHMDUILJ,HXYSSRXE,5251768.135389597
AHMDUILJ,IGDVVKUD,31460.452237647958
AHMDUILJ,JERHKLYW,0.0
AHMDUILJ,JPBRUTWP,5625201.349281014
AHMDUILJ,KAGJCHMR,13689.647800802253
AHMDUILJ,KEUWZRKO,386100.35626631835
AHMDUILJ,LRVGFDFM,2782947.8845142024
AHMDUILJ,LTOYKIML,517928.3385580932
AHMDUILJ,OJIFIHMZ,3158048.351694912
AHMDUILJ,QRKRBYJL,2288816.41614688
AHMDUILJ,QVLMOEYE,1210146.72712189
AHMDUILJ,RAWUKQMJ,4614649.913806067
AHMDUILJ,RCBZUSIM,23515.211449219845
AHMDUILJ,RJGPVEXX,640091.1713575888
AHMDUILJ,SAHWCZNH,1970107.366675043
AHMDUILJ,SUOYXCHP,10752.505788282491
AHMDUILJ,UXSPKBJR,594157.4578662049
AHMDUILJ,VBYCLTYZ,529046.0421001231
AHMDUILJ,WBLJNPZQ,195913.65159161016
AHMDUILJ,WPQXWHYO,16996183.961992234
