leading_item_id,following_item_id,value
DEWLVASR,ELQGMQWE,595158
DEWLVASR,BEZYMBBT,2468911
DEWLVASR,JPBRUTWP,4587920
DEWLVASR,XUOIQPFL,2396767
DEWLVASR,DBWLZWNK,325573
DEWLVASR,OGAFEHLU,154857
ELQGMQWE,DEWLVASR,493866
ELQGMQWE,ZXERAXWP,159756
AHMDUILJ,BTMOEMEP,12293828
FTSVTTSR,GIKPEWTY,153582
RCBZUSIM,ATLDMDBO,33650185
RCBZUSIM,HXYSSRXE,4739555
RCBZUSIM,QRKRBYJL,1933716
SUOYXCHP,BSRMSVTC,508105
ZKENOUDA,DNMPSKTB,4973649
ZKENOUDA,RJGPVEXX,679814
ZKENOUDA,ATLDMDBO,35344591
ZKENOUDA,QRKRBYJL,1793425
WQMVCOEM,ATLDMDBO,33191851
WQMVCOEM,HXYSSRXE,4721589
WQMVCOEM,FRHNWLNI,1104584
BSRMSVTC,SUOYXCHP,75471
BSRMSVTC,YSYHGLQK,190473
DNMPSKTB,ZKENOUDA,548688
DNMPSKTB,ATLDMDBO,35480451
DNMPSKTB,HXYSSRXE,4762066
DNMPSKTB,QRKRBYJL,1927726
DNMPSKTB,FRHNWLNI,1088769
DNMPSKTB,BJALXPFS,293715
WPQXWHYO,RJGPVEXX,700719
WPQXWHYO,SAHWCZNH,2554253
WPQXWHYO,LUENUFGA,3241253
RJGPVEXX,ZKENOUDA,573772
RJGPVEXX,WPQXWHYO,12910108
ATLDMDBO,RCBZUSIM,165585
ATLDMDBO,ZKENOUDA,577323
ATLDMDBO,WQMVCOEM,190834
ATLDMDBO,DNMPSKTB,4978668
ATLDMDBO,HXYSSRXE,4458228
ATLDMDBO,QRKRBYJL,1862080
ATLDMDBO,FRHNWLNI,1064216
SAHWCZNH,WPQXWHYO,11737916
SAHWCZNH,LUENUFGA,3494776
LUENUFGA,WPQXWHYO,12669883
LUENUFGA,SAHWCZNH,2224662
HXYSSRXE,RCBZUSIM,157553
HXYSSRXE,WQMVCOEM,182099
HXYSSRXE,DNMPSKTB,4857408
HXYSSRXE,ATLDMDBO,34329147
HXYSSRXE,QRKRBYJL,1919022
QRKRBYJL,RCBZUSIM,155692
QRKRBYJL,ZKENOUDA,520215
QRKRBYJL,DNMPSKTB,4848817
QRKRBYJL,ATLDMDBO,35443128
QRKRBYJL,HXYSSRXE,4640693
FRHNWLNI,WQMVCOEM,188889
FRHNWLNI,DNMPSKTB,4664853
FRHNWLNI,ATLDMDBO,34729490
BJALXPFS,DNMPSKTB,4808969
RAWUKQMJ,QVLMOEYE,924888
RAWUKQMJ,OKMBFVKS,1850756
ZGJXVMNI,QVLMOEYE,944692
ZGJXVMNI,WBLJNPZQ,316489
ZGJXVMNI,OGAFEHLU,158740
ZGJXVMNI,SDWAYPIK,5181658
ZGJXVMNI,KAGJCHMR,152295
LRVGFDFM,BTMOEMEP,12376324
LRVGFDFM,UXSPKBJR,715318
LRVGFDFM,XUOIQPFL,2696628
LRVGFDFM,WBLJNPZQ,320134
LRVGFDFM,OKMBFVKS,1856175
LRVGFDFM,VUAFAIYJ,893996
LRVGFDFM,CCLHWFWF,12758595
LRVGFDFM,OGAFEHLU,266249
LRVGFDFM,SDWAYPIK,4889030
BTMOEMEP,AHMDUILJ,276660
BTMOEMEP,LRVGFDFM,3715790
BTMOEMEP,QVLMOEYE,959067
BTMOEMEP,XUOIQPFL,2372641
BTMOEMEP,OGAFEHLU,150946
BTMOEMEP,SDWAYPIK,5166040
UXSPKBJR,LRVGFDFM,3953165
UXSPKBJR,BEZYMBBT,2517955
UXSPKBJR,QVLMOEYE,930964
UXSPKBJR,OXKURKXR,244439
